unit_type,id_rhomis_dataset,survey_value,conversion
crop_amount_to_kg,6e982919815018fb4540099f74cb968c,sacks_50kg,50
crop_amount_to_kg,6e982919815018fb4540099f74cb968c,sacks_90kg,90
crop_amount_to_kg,6e982919815018fb4540099f74cb968c,kg,1
crop_amount_to_kg,06cd96468e74bda49a55ba14145ef9ec,sacks_90kg,90
crop_amount_to_kg,06cd96468e74bda49a55ba14145ef9ec,sacks_50kg,50
crop_amount_to_kg,06cd96468e74bda49a55ba14145ef9ec,kg,1
crop_amount_to_kg,06cd96468e74bda49a55ba14145ef9ec,debe_20kg,NA
crop_amount_to_kg,9ec32b0ca09a4443ebcf11115f2a6f42,sacks_90kg,90
crop_amount_to_kg,9ec32b0ca09a4443ebcf11115f2a6f42,kg,1
crop_amount_to_kg,9ec32b0ca09a4443ebcf11115f2a6f42,sacks_50kg,50
crop_amount_to_kg,9ec32b0ca09a4443ebcf11115f2a6f42,gorogoro_2kg,NA
crop_amount_to_kg,9ec32b0ca09a4443ebcf11115f2a6f42,debe_20kg,NA
