id_unique,id_hh,id_rhomis_dataset,id_form,id_proj,iso_country_code,year,currency_conversion_lcu_to_ppp,currency_conversion_factor_year,survey_length_minutes,livestock_tlu,hh_size_members,hh_size_mae,household_type,head_education_level,land_cultivated_ha,land_owned_ha,worst_food_security_month,best_food_security_month,fies_score,hdds_good_season,hdds_good_season_bought,hdds_good_season_farm,hdds_bad_season,hdds_bad_season_bought,hdds_bad_season_farm,hdds_last_month,hdds_last_month_bought,hdds_last_month_farm,hdds_last_24hr,crop_income_lcu_per_year,livestock_income_lcu_per_year,total_income_lcu_per_year,off_farm_income_lcu_per_year
a742bce2-e27b-48a0-a3f5-cebe3222a688,6e3b21559a60fa4e30e897ac80dcddcf,6e982919815018fb4540099f74cb968c,test_form,test_project,KE,2021,46.4090003108795,2021,75,0.02,4,3.3,man_single,primary,0.8,NA,jul,may,4,6,3,6,6,3,5,NA,NA,NA,7,11900,NA,14875,2975
3c0a3005-6bb6-40ac-b74b-f1d249c8f4bd,c8363d9d1646c031b82f5e13ae784870,6e982919815018fb4540099f74cb968c,test_form,test_project,KE,2021,46.4090003108795,2021,124,0.05,4,3.11,couple,primary,0.4,0.6000000000000001,jul,may,2,8,2,7,6,4,3,NA,NA,NA,8,6500,65700,240666.66666666663,168466.66666666663
1a621330-13e8-4363-8bea-cde0bca1d30e,542e2e33c5e6e9412cae6eaabcf172a3,6e982919815018fb4540099f74cb968c,test_form,test_project,KE,2021,46.4090003108795,2021,141,0.35000000000000003,4,3.19,couple,primary,1.5,3.3,aug,mar,7,7,1,7,4,3,2,NA,NA,NA,6,6927.75,118625,156940.9375,31388.187500000004
fee48305-07b2-41c5-9772-f3e157e4cdaa,7a804f6921131e77a12c69ed5d4f4f2e,06cd96468e74bda49a55ba14145ef9ec,test_form,test_project,UG,2021,1267.21295269912,2020,106,0.06,3,2.3,woman_single,primary,1.5,NA,sep,mar,6,10,7,7,4,3,2,NA,NA,NA,7,0,127750,159687.5,31937.5
89764030-29a0-4d1a-86a3-e1362ccd7ddc,727e146692b2d63f0d5584b85455be9b,06cd96468e74bda49a55ba14145ef9ec,test_form,test_project,UG,2021,1267.21295269912,2020,76,0.2,1,1,man_single,secondary,0.2,0.2,oct,apr,2,8,5,4,6,4,3,NA,NA,NA,6,31850,NA,39812.5,7962.5
42676b9d-7803-441c-860c-f9f384498081,c1754e1643d676ad5170f4f296403456,06cd96468e74bda49a55ba14145ef9ec,test_form,test_project,UG,2021,1267.21295269912,2020,79,1.66,2,1.8599999999999999,couple,secondary,NA,NA,oct,apr,4,9,3,6,5,3,3,NA,NA,NA,8,20000,210821.42857142858,230821.42857142858,0
ef81ddbe-6167-4dcc-a092-b70142d7350e,2edc6211a8daf959bb135020165a17e4,9ec32b0ca09a4443ebcf11115f2a6f42,test_form,test_project,VN,2021,7901.71116911634,2021,121,0.42000000000000004,2,1.33,couple,secondary,0.4,NA,NA,aug,0,NA,NA,NA,NA,NA,NA,6,4,5,6,0,NA,0,0
dfd17d97-6fbb-4450-a59b-a12b0454a2b5,20d2c76f9c3d822eef1233edf9ce7e37,9ec32b0ca09a4443ebcf11115f2a6f42,test_form,test_project,VN,2021,7901.71116911634,2021,151,0.04,3,2.36,couple,primary,0.4,NA,sep,jun,8,7,2,6,6,2,5,NA,NA,NA,8,179600,102200,281800,0
2b03baf2-59d4-497c-b76a-2450eca69722,baead880d2ef55355edced208d8f6aa5,9ec32b0ca09a4443ebcf11115f2a6f42,test_form,test_project,VN,2021,7901.71116911634,2021,93,0.2,3,2.44,couple,secondary,0.8,1.2000000000000002,aug,feb,0,8,2,8,8,4,7,NA,NA,NA,9,132000,30000,180000,18000
0cfe74e6-28b3-466a-a57d-f0894ad201fa,5970069e3736398d3a257d75367c0d72,9ec32b0ca09a4443ebcf11115f2a6f42,test_form,test_project,VN,2021,7901.71116911634,2021,58,0.15,3,2.58,man_single,primary,0.8,1,aug,feb,1,9,1,9,8,5,6,NA,NA,NA,8,315000,162000,530000,53000
